genero,edad,edad_cat,municipio
1,54,5,28123
1,49,4,28123
1,36,4,28123
1,50,5,28123
1,33,3,28123
1,56,5,28123
1,52,5,28123
1,44,4,28123
2,25,2,28123
1,38,4,28123
1,43,4,28123
1,59,5,28123
1,44,4,28123
2,43,4,28123
2,48,4,28123
1,26,2,28123
1,45,4,28123
1,49,4,28123
2,39,4,28123
2,54,5,28123
2,27,3,28123
1,22,2,28123
1,34,3,28123
2,50,5,28123
1,15,1,28123
1,74,6,28123
1,41,4,28123
2,58,5,28123
2,40,4,28123
1,42,4,28123
1,58,5,28123
1,26,2,28123
2,22,2,28123
1,49,4,28123
1,40,4,28123
1,42,4,28123
1,49,4,28123
1,33,3,28123
2,17,2,28123
1,31,3,28123
2,54,5,28123
1,46,4,28123
2,34,3,28123
1,28,3,28123
1,21,2,28123
1,36,4,28123
1,45,4,28123
2,45,4,28123
1,58,5,28123
2,25,2,28123
1,50,5,28123
1,44,4,28123
1,34,3,28123
2,39,4,28123
2,27,3,28123
2,59,5,28123
1,46,4,28123
1,19,2,28123
1,35,4,28123
1,21,2,28123
2,48,4,28123
1,55,5,28123
1,43,4,28123
2,24,2,28123
1,23,2,28123
1,47,4,28123
2,58,5,28123
2,36,4,28123
1,45,4,28123
1,50,5,28123
2,48,4,28123
1,48,4,28123
2,48,4,28123
1,45,4,28123
1,42,4,28123
2,55,5,28123
1,38,4,28123
1,34,3,28123
2,63,5,28123
2,22,2,28123
2,43,4,28123
1,51,5,28123
1,42,4,28123
1,38,4,28123
2,45,4,28123
1,48,4,28123
1,56,5,28123
1,67,6,28123
1,35,4,28123
1,43,4,28123
1,36,4,28123
1,24,2,28123
1,40,4,28123
1,39,4,28123
2,58,5,28123
1,50,5,28123
2,50,5,28123
2,45,4,28123
1,31,3,28123
1,51,5,28123
1,18,2,28123
1,29,3,28123
1,43,4,28123
1,60,5,28123
1,46,4,28123
1,35,4,28123
1,21,2,28123
1,42,4,28123
1,36,4,28123
1,39,4,28123
1,47,4,28123
1,50,5,28123
1,35,4,28123
1,36,4,28123
1,26,2,28123
1,21,2,28123
2,28,3,28123
1,15,1,28123
1,50,5,28123
1,35,4,28123
1,35,4,28123
2,26,2,28123
1,59,5,28123
1,53,5,28123
2,30,3,28123
2,44,4,28123
1,55,5,28123
1,50,5,28123
2,53,5,28123
1,72,6,28123
1,43,4,28123
2,47,4,28123
1,28,3,28123
1,33,3,28123
1,26,2,28123
2,43,4,28123
1,42,4,28123
2,49,4,28123
2,43,4,28123
1,22,2,28123
1,56,5,28123
1,38,4,28123
1,33,3,28123
1,25,2,28123
1,43,4,28123
2,50,5,28123
1,42,4,28123
2,53,5,28123
1,29,3,28123
2,50,5,28123
1,39,4,28123
1,30,3,28123
2,47,4,28123
2,32,3,28123
1,29,3,28123
2,39,4,28123
1,59,5,28123
1,38,4,28123
1,24,2,28123
1,34,3,28123
1,25,2,28123
1,61,5,28123
2,60,5,28123
1,43,4,28123
1,33,3,28123
2,50,5,28123
2,26,2,28123
1,57,5,28123
1,32,3,28123
1,40,4,28123
1,43,4,28123
1,50,5,28123
1,35,4,28123
1,75,6,28123
1,36,4,28123
2,46,4,28123
2,39,4,28123
1,29,3,28123
1,58,5,28123
2,65,6,28123
1,26,2,28123
1,60,5,28123
2,50,5,28123
2,60,5,28123
1,32,3,28123
2,16,2,28123
1,20,2,28123
2,30,3,28123
1,50,5,28123
1,17,2,28123
1,35,4,28123
1,47,4,28123
2,37,4,28014
2,22,2,28014
1,59,5,28014
1,35,4,28014
1,38,4,28014
1,43,4,28014
1,47,4,28123
1,29,3,28014
1,54,5,28014
1,33,3,28014
1,26,2,28014
2,35,4,28014
1,33,3,28014
1,62,5,28123
2,44,4,28123
2,23,2,28123
2,37,4,28123
2,53,5,28123
2,56,5,28123
1,22,2,28123
1,51,5,28123
1,36,4,28123
2,40,4,28123
1,27,3,28123
2,43,4,28123
1,51,5,28123
2,45,4,28123
2,53,5,28123
2,55,5,28123
2,52,5,28123
2,51,5,28123
1,51,5,28123
2,19,2,28123
1,58,5,28123
1,56,5,28123
2,54,5,28123
2,49,4,28123
1,42,4,28123
2,21,2,28123
2,50,5,28123
2,57,5,28123
2,53,5,28123
2,58,5,28123
2,42,4,28123
1,46,4,28123
2,19,2,28123
2,57,5,28123
2,59,5,28123
2,52,5,28123
2,41,4,28123
2,50,5,28123
1,45,4,28123
2,54,5,28123
2,66,6,28123
2,56,5,28123
2,56,5,28123
1,57,5,28123
2,51,5,28123
1,46,4,28123
2,43,4,28123
2,52,5,28123
1,26,2,28123
1,57,5,28123
2,39,4,28123
1,16,2,28123
2,48,4,28123
2,43,4,28123
1,54,5,28123
2,54,5,28123
2,54,5,28123
1,53,5,28123
2,52,5,28123
2,47,4,28123
1,54,5,28123
2,52,5,28123
2,56,5,28123
2,50,5,28123
2,57,5,28123
1,52,5,28123
2,45,4,28123
2,19,2,28123
2,45,4,28123
1,17,2,28123
2,18,2,28123
2,58,5,28123
1,14,1,28123
1,58,5,28123
1,58,5,28123
1,23,2,28123
1,53,5,28123
2,48,4,28123
2,63,5,28123
1,33,3,28123
2,52,5,28123
1,23,2,28123
2,59,5,28123
1,45,4,28123
2,22,2,28123
2,45,4,28123
2,41,4,28123
1,40,4,28123
2,62,5,28123
2,52,5,28014
2,19,2,28014
2,40,4,28014
1,60,5,28014
2,16,2,28014
2,49,4,28014
2,48,4,28014
2,44,4,28014
2,50,5,28014
2,58,5,28014
2,60,5,28014
1,55,5,28014
1,50,5,28014
1,52,5,28014
2,49,4,28014
2,58,5,28014
1,17,2,28014
1,54,5,28014
2,54,5,28014
2,44,4,28014
2,51,5,28014
2,49,4,28014
1,58,5,28014
2,61,5,28014
1,41,4,28014
2,53,5,28014
2,53,5,28014
2,41,4,28014
2,52,5,28014
2,22,2,28014
2,50,5,28014
2,27,3,28014
2,45,4,28014
2,48,4,28014
1,18,2,28014
1,18,2,28014
2,48,4,28014
2,19,2,28014
1,23,2,28014
2,47,4,28014
1,44,4,28014
2,39,4,28014
2,58,5,28014
1,46,4,28014
1,56,5,28014
1,14,1,28014
1,63,5,28014
2,56,5,28014
2,53,5,28014
1,18,2,28014
2,50,5,28014
1,56,5,28014
2,54,5,28014
2,56,5,28014
1,38,4,28014
1,56,5,28014
2,21,2,28014
1,56,5,28014
1,48,4,28014
2,49,4,28014
1,57,5,28014
1,43,4,28014
2,48,4,28014
1,56,5,28014
2,18,2,28014
2,40,4,28014
1,48,4,28014
2,28,3,28014
1,44,4,28014
2,36,4,28014
1,55,5,28014
2,55,5,28014
2,46,4,28014
2,52,5,28014
1,58,5,28014
2,58,5,28014
2,48,4,28014
2,67,6,28014
2,48,4,28014
2,41,4,28014
2,56,5,28014
2,54,5,28014
2,55,5,28014
2,23,2,28014
2,59,5,28014
2,49,4,28014
2,16,2,28014
2,46,4,28014
1,33,3,28014
2,45,4,28014
2,60,5,28014
1,37,4,28014
1,56,5,28014
2,50,5,28014
2,39,4,28014
2,48,4,28014
2,40,4,28014
2,53,5,28014
2,47,4,28014
1,58,5,28014
2,50,5,28014
2,54,5,28014
1,56,5,28014
2,58,5,28014
1,22,2,28014
2,45,4,28014
2,52,5,28014
2,15,1,28014
2,48,4,28014
1,47,4,28014
1,15,1,28014
1,59,5,28014
2,55,5,28014
1,58,5,28014
2,52,5,28014
1,63,5,28014
2,22,2,28014
2,46,4,28014
2,54,5,28014
2,25,2,28014
2,48,4,28014
2,49,4,28014
2,24,2,28014
2,49,4,28014
2,32,3,28014
2,19,2,28014
2,30,3,28123
2,55,5,28123
1,36,4,28123
1,46,4,28123
1,35,4,28123
1,44,4,28123
1,53,5,28123
2,29,3,28123
1,61,5,28123
1,41,4,28123
1,53,5,28123
1,60,5,28123
2,49,4,28123
2,54,5,28123
1,32,3,28123
1,38,4,28123
1,53,5,28123
2,67,6,28123
1,22,2,28123
1,50,5,28123
2,51,5,28123
1,43,4,28123
1,44,4,28123
2,36,4,28123
1,53,5,28123
1,47,4,28123
2,47,4,28123
2,53,5,28123
1,55,5,28123
2,49,4,28014
1,49,4,28123
1,50,5,28123
2,32,3,28123
2,54,5,28123
2,58,5,28123
1,21,2,28014
1,37,4,28014
1,43,4,28014
1,18,2,28123
1,47,4,28014
2,30,3,28014
2,44,4,28123
2,26,2,28014
1,43,4,28014
2,51,5,28123
2,17,2,28123
2,55,5,28123
1,58,5,28123
2,53,5,28123
1,46,4,28014
1,42,4,28123
1,49,4,28014
2,52,5,28123
1,27,3,28014
2,58,5,28123
2,57,5,28123
2,32,3,28014
1,41,4,28123
1,16,2,28123
1,58,5,28123
1,57,5,28123
1,56,5,28123
2,23,2,28123
1,36,4,28014
1,30,3,28014
2,47,4,28123
1,43,4,28014
2,47,3,28014
1,48,4,28014
1,48,4,28014
1,41,4,28123
1,37,4,28014
1,22,2,28123
2,47,4,28014
2,26,2,28123
2,50,5,28123
1,29,3,28014
2,42,4,28014
1,55,5,28123
2,49,4,28123
1,52,5,28123
2,23,2,28014
2,39,4,28014
2,60,5,28014
2,45,4,28123
2,49,4,28123
2,27,3,28123
2,59,5,28123
1,59,5,28123
1,66,6,28014
1,43,4,28014
2,55,5,28014
1,44,4,28014
1,58,5,28014
2,48,4,28123
2,40,4,28123
2,44,4,28123
1,62,5,28014
1,43,4,28014
2,52,5,28123
2,46,4,28123
2,62,5,28123
1,39,4,28014
1,35,4,28123
2,53,5,28014
2,25,2,28014
1,40,4,28014
1,42,4,28014
1,16,2,28014
2,60,5,28014
2,58,5,28014
2,38,4,28014
2,59,5,28123
1,50,5,28123
2,36,4,28123
1,42,4,28014
2,47,4,28123
1,37,4,28014
1,21,2,28123
2,41,4,28014
2,55,5,28123
1,54,5,28123
1,48,4,28123
1,57,5,28123
2,44,4,28123
1,18,2,28014
2,55,5,28123
1,53,5,28123
2,43,4,28123
1,30,3,28014
2,58,5,28123
2,47,4,28123
2,46,4,28123
1,53,5,28014
